n_01,n_11,n_02,n_12,n_22,mu0,theta1,theta2,sigma,alpha,futility_bound,lambda0,lambda1,lambda2,trend_pattern,period_blocks,B_boot,Z_1,arm_1_stop,arm_1_cont,boot_stop,theta2_tilde_unadj,theta2_tilde_adj_theta1_true,theta2_tilde_adj_theta1_per12,theta2_tilde_adj_theta1_per1,theta2_tilde_adj_theta1_per2,theta2_tilde_adj_theta1_rao,theta2_tilde_unadj_cond,theta2_tilde_adj_theta1_true_cond,theta2_tilde_adj_theta1_per12_cond,theta2_tilde_adj_theta1_per1_cond,theta2_tilde_adj_theta1_per2_cond,theta2_tilde_adj_theta1_rao_cond,bias_est_theta1_true,bias_est_theta1_per12,bias_est_theta1_per1,bias_est_theta1_per2,bias_est_theta1_rao,var_boot_est_unadj,var_boot_est_adj_theta1_true,var_boot_est_adj_theta1_per12,var_boot_est_adj_theta1_per1,var_boot_est_adj_theta1_per2,var_boot_est_adj_theta1_rao,bias_arm2_unadj,bias_arm2_adj_theta1_true,bias_arm2_adj_theta1_per12,bias_arm2_adj_theta1_per1,bias_arm2_adj_theta1_per2,bias_arm2_adj_theta1_rao,bias_arm2_unadj_cond,bias_arm2_adj_theta1_true_cond,bias_arm2_adj_theta1_per12_cond,bias_arm2_adj_theta1_per1_cond,bias_arm2_adj_theta1_per2_cond,bias_arm2_adj_theta1_rao_cond,MSE_arm2_unadj,MSE_arm2_adj_theta1_true,MSE_arm2_adj_theta1_per12,MSE_arm2_adj_theta1_per1,MSE_arm2_adj_theta1_per2,MSE_arm2_adj_theta1_rao,MSE_arm2_unadj_cond,MSE_arm2_adj_theta1_true_cond,MSE_arm2_adj_theta1_per12_cond,MSE_arm2_adj_theta1_per1_cond,MSE_arm2_adj_theta1_per2_cond,MSE_arm2_adj_theta1_rao_cond,reject_h02_unadj,reject_h02_adj_theta1_true,reject_h02_adj_theta1_per12,reject_h02_adj_theta1_per1,reject_h02_adj_theta1_per2,reject_h02_adj_theta1_rao,reject_h02_unadj_cond,reject_h02_adj_theta1_true_cond,reject_h02_adj_theta1_per12_cond,reject_h02_adj_theta1_per1_cond,reject_h02_adj_theta1_per2_cond,reject_h02_adj_theta1_rao_cond,theta2_tilde_unadj_stop,bias_arm2_unadj_stop,MSE_arm2_unadj_stop,reject_h02_unadj_stop,theta2_sep,bias_arm2_sep,MSE_arm2_sep,reject_h02_sep,var_theta2_tilde_unadj,var_theta2_tilde_adj_theta1_true,var_theta2_tilde_adj_theta1_per12,var_theta2_tilde_adj_theta1_per1,var_theta2_tilde_adj_theta1_per2,var_theta2_tilde_adj_theta1_rao,var_theta2_tilde_unadj_cond,var_theta2_tilde_adj_theta1_true_cond,var_theta2_tilde_adj_theta1_per12_cond,var_theta2_tilde_adj_theta1_per1_cond,var_theta2_tilde_adj_theta1_per2_cond,var_theta2_tilde_adj_theta1_rao_cond,var_theta2_tilde_unadj_stop,var_bias_est_theta1_true,var_bias_est_theta1_per12,var_bias_est_theta1_per1,var_bias_est_theta1_per2,var_bias_est_theta1_rao,sd_bias_arm2_unadj,sd_bias_arm2_adj_theta1_true,sd_bias_arm2_adj_theta1_per12,sd_bias_arm2_adj_theta1_per1,sd_bias_arm2_adj_theta1_per2,sd_bias_arm2_adj_theta1_rao,sd_bias_arm2_unadj_cond,sd_bias_arm2_adj_theta1_true_cond,sd_bias_arm2_adj_theta1_per12_cond,sd_bias_arm2_adj_theta1_per1_cond,sd_bias_arm2_adj_theta1_per2_cond,sd_bias_arm2_adj_theta1_rao_cond
150,10,150,10,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,0.0012050076671135063,0.49849,0.50151,363.95633187772927,0.3239649285010999,0.3198809444053594,0.32085585688967927,0.32182214647582297,0.319325652506748,0.31947485429403794,0.3275730412094658,0.3194296660110838,0.3213736202379584,0.32330038059397065,0.3183224260784575,0.31861993118760773,0.008143375198381993,0.006199420971507388,0.0042726606154951125,0.00925061513100828,0.008953110021858023,0.01298114601412587,0.012981146014125868,0.013067078890897445,0.013013584747217987,0.013147722264439814,0.013141036613293567,0.003964928501099932,-1.1905559464061988e-4,8.558568896792615e-4,0.0018221464758229778,-6.743474932520311e-4,-5.251457059620856e-4,0.007573041209465758,-5.703339889162314e-4,0.00137362023795837,0.003300380593970646,-0.0016775739215425223,-0.0013800688123922651,0.013214720021931832,0.013186121077015979,0.013228371290718853,0.013206773140552939,0.013269544313775037,0.013266454143818265,0.013038291895778271,0.012981266223476916,0.013065512227949157,0.013022445987662992,0.013147610337769866,0.013141448606285404,0.80679,0.7967,0.79793,0.80133,0.79277,0.79315,0.8216785308368726,0.8015592909413571,0.8040118841099878,0.8107914099419752,0.793722956670854,0.7944806683814879,0.3203349567777503,3.349567777503246e-4,0.013392217001905899,0.7918112700355072,0.31986010479867155,-1.3989520132843704e-4,0.013324449060959262,0.79209,0.013199131355226549,0.013186238765169016,0.013227771077414015,0.013203584958623171,0.013269222261455996,0.013266311028916063,0.012981199784909981,0.01298119978490998,0.013063885886425831,0.01301181292830931,0.013145058193100518,0.013139806021224196,0.013392373464681865,0,9.8858572076922e-6,5.0432596528803334e-6,3.916574340750593e-5,3.129983227237447e-5,0.11488747257741616,0.11483134922645913,0.11501204753161304,0.11490685340145369,0.11519211023961666,0.11517947312310499,0.11393506828413269,0.11393506828413269,0.11429735730289581,0.11406933386458129,0.11465190008499866,0.11462899293470302
150,50,150,50,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-0.0025818684442891326,0.50079,0.49921,383.4557200376595,0.3283195970691986,0.32018908840363003,0.32214467956641074,0.3240475421697201,0.31912100023675083,0.31940490711621355,0.3362314553468203,0.3199447049500563,0.323862076723019,0.32767382449111127,0.31780514811650085,0.3183738604408989,0.01628675039676401,0.0123693786238013,0.00855763085570902,0.018426307230319468,0.017857594905921398,0.012231084523365328,0.012231084523365328,0.012566312404756958,0.012369884782778251,0.012866708246351258,0.012859051694663948,0.008319597069198591,1.8908840363002598e-4,0.002144679566410743,0.004047542169720092,-8.7899976324919e-4,-5.950928837864299e-4,0.016231455346820297,-5.529504994372092e-5,0.0038620767230189944,0.007673824491111278,-0.0021948518834991704,-0.001626139559101101,0.012926255658759461,0.01279473524729008,0.012969049796614665,0.012888048775916984,0.013125743535270996,0.013115580064747778,0.012462670288157536,0.012199213203024264,0.012548394007344258,0.0123861355976616,0.01286227742044963,0.012841918312011862,0.82658,0.8088,0.80803,0.81566,0.79598,0.79693,0.8613609503014763,0.8257446765890106,0.8242022395384708,0.8394863884938203,0.8000641012800225,0.8019671080306885,0.3204327008237234,4.327008237233789e-4,0.01338837841052804,0.7919087841210887,0.32023132215243993,2.3132215243990597e-4,0.013348091006919202,0.79181,0.012857168535050994,0.012794827441140104,0.012964579791970004,0.012871794896250285,0.013125102145708662,0.013115357082778273,0.01219945452068495,0.01219945452068495,0.012533729442011239,0.012327494955405631,0.012857717606958122,0.012839531179141023,0.01338845852728785,0,3.966901546029751e-5,2.023743534188298e-5,1.5760461148145837e-4,1.2561331398941688e-4,0.1133894551316435,0.11311422298340781,0.11386210867523051,0.1134539329254402,0.11456483817344945,0.11452229950004617,0.11045114087543392,0.11045114087543392,0.11195413990563832,0.11102925270128423,0.11339187628290716,0.11331165508958477
150,150,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,2.7978972695901476e-4,0.499,0.501,384.28974051896205,0.33168651548890205,0.32014701089655945,0.32293211746437656,0.32563570349272436,0.31865994324802094,0.3190516009734287,0.3426578205491936,0.31962487725110456,0.3251839721968473,0.33058035149494674,0.31665667835182615,0.31743843029874785,0.023032943298089026,0.017473848352346305,0.012077469054246883,0.026001142197367433,0.025219390250445735,0.011226507971443736,0.011226507971443736,0.011893468686697052,0.011506710015990124,0.012487637925111268,0.012476605275313945,0.011686515488902037,1.4701089655943524e-4,0.0029321174643765387,0.005635703492724348,-0.0013400567519790468,-9.483990265712768e-4,0.022657820549193596,-3.751227488954317e-4,0.00518397219684729,0.01058035149494671,-0.003343321648173839,-0.0025615697012521424,0.012349501541709667,0.012092370248113344,0.012439814784265955,0.012278053224073672,0.012747463668257311,0.012733653381714146,0.011553476223530226,0.011040240108567505,0.011733742176736391,0.011410864811083131,0.012347811805461652,0.012320246363259724,0.84686,0.82517,0.82025,0.83265,0.79973,0.80108,0.8998403193612774,0.8565469061876247,0.8467265469061876,0.8714770459081836,0.8057684630738523,0.8084630738522954,0.32067123726203617,6.712372620361654e-4,0.013148717342126299,0.7936673346693387,0.3202143303010323,2.14330301032314e-4,0.01317688311488813,0.79181,0.012213049027927598,0.012092469560605243,0.012431341784858902,0.01224641453436111,0.012745795374112528,0.012732881249813041,0.011040319757154582,0.011040319757154582,0.011707102283694986,0.01129914650519288,0.012336880250933293,0.012313930510961498,0.01314853028026516,0,7.918742731790228e-5,4.030107753628558e-5,3.1223075701102395e-4,2.5071510684658625e-4,0.11051266455898888,0.10996576540271633,0.11149592721197893,0.11066351943780349,0.11289727797477019,0.11284006934512687,0.10507292589984625,0.10507292589984625,0.10819936360115519,0.10629744354965871,0.1110715096275066,0.1109681508855649
150,300,150,300,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-1.4769754402821524e-4,0.50081,0.49919,385.70526252529095,0.3329685440663529,0.3196920109361135,0.3228813103748362,0.3260004911212189,0.31794016157529814,0.3184053428300286,0.34636347226167946,0.3197673202349173,0.3261562692097019,0.3324047532466072,0.3162579363113304,0.31718980845366185,0.026596152026762174,0.02020720305197757,0.013958719015072294,0.03010553595034905,0.029173663808017614,0.010558553743802298,0.0105585537438023,0.011449772135593141,0.01093197733780895,0.012244385617248506,0.01222985907841071,0.012968544066352878,-3.079890638865373e-4,0.0028813103748361935,0.0060004911212189396,-0.0020598384247018627,-0.0015946571699714338,0.026363472261679465,-2.326797650827204e-4,0.006156269209701893,0.012404753246607171,-0.0037420636886695818,-0.002810191546338147,0.0122968933513446,0.011949967019044123,0.012417067877212565,0.012203549728579611,0.012819972475771182,0.012809130516874954,0.011113759198010503,0.010418780668191241,0.011354498247005802,0.010926769028405763,0.012161614973219506,0.012139895870480612,0.85471,0.83267,0.82444,0.83937,0.79926,0.80083,0.921432721008033,0.8772811955367695,0.8607944870690518,0.8907029387607924,0.8103527714898136,0.813497866543801,0.31961694524479367,-3.830547552063539e-4,0.013476200350012455,0.7882031109602444,0.3196956954476293,-3.043045523706862e-4,0.013386277228939206,0.78933,0.012128831504458709,0.011949991661697267,0.012408890016636592,0.0121676655115389,0.012815857700012305,0.01280671565254174,0.010418935245144322,0.010418935245144324,0.011316825300189584,0.010773106937050334,0.012147855283904286,0.012132241732510615,0.013476322709594505,0,1.0517798091253665e-4,5.438852423278632e-5,4.141820066795515e-4,3.32115204059025e-4,0.11013097431902938,0.10931601740686159,0.11139519745768482,0.11030714170686728,0.11320714509257931,0.11316676036956143,0.1020731857303588,0.1020731857303588,0.10638056824528427,0.10379357849621687,0.11021730936610767,0.1101464558327258
150,600,150,600,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,0.0024424386105787598,0.49891,0.50109,386.58692051328103,0.33391868419165777,0.31931961504271417,0.32280700952653957,0.326236613898772,0.3173744022709688,0.31787203778482165,0.3490215767070172,0.3198869518912284,0.3268465688938136,0.33369085709001084,0.31600498902678226,0.3169980950832847,0.02913462481578877,0.022175007813203605,0.015330719617006343,0.033016587680234924,0.032023481623732496,0.010019676194552893,0.010019676194552893,0.011088801155068315,0.010467433998474147,0.01204140753947426,0.012025639861096463,0.013918684191657737,-6.803849572858565e-4,0.0028070095265395434,0.006236613898772029,-0.00262559772903118,-0.002127962215178377,0.029021576707017188,-1.1304810877158041e-4,0.006846568893813584,0.013690857090010847,-0.003995010973217734,-0.0030019049167153045,0.011896374534674476,0.011474336926674477,0.012025157925536547,0.011766118407813752,0.012517427160667097,0.012487044642111053,0.010500664126522782,0.009658424991836397,0.010757670634060487,0.010240718554149106,0.011740067479199187,0.011679434621716412,0.86484,0.8427,0.83171,0.84895,0.80335,0.80419,0.9413478616615778,0.8971641820830589,0.8752319942525295,0.9096369913588377,0.8186353748827556,0.8203117204494202,0.3187497992013359,-0.0012502007986640983,0.013298183535136952,0.7879978352809124,0.31934142773122787,-6.58572268772138e-4,0.013228794396810833,0.79061,0.0117027617926653,0.011473988742871803,0.012017398797042432,0.011727340328294679,0.012510658503817442,0.01248264124533428,0.009658604963861634,0.009658604963861634,0.010711008882636262,0.01005347961850415,0.01172434134328059,0.011670656093975546,0.013296887051851888,0,1.2603490958771723e-4,6.472954465657124e-5,4.993976256904211e-4,3.9819883842651826e-4,0.1081793039017413,0.10711670618009034,0.10962389701630951,0.10829284523132024,0.11185105499644356,0.11172574119393561,0.09827820187539876,0.09827820187539876,0.10349400409026728,0.10026704153660937,0.10827899770168077,0.10803081085493872
150,1050,150,1050,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-0.003956093203715151,0.50079,0.49921,386.5074818212776,0.3354969610755327,0.3202861721721556,0.3239277576830789,0.32749323651216167,0.31827204924901625,0.3187937881359673,0.3508237272377355,0.3203540072734378,0.32764870391597967,0.33479094631713896,0.3163193867266953,0.31736451580454034,0.030469719964297703,0.023175023321755868,0.016032780920596533,0.034504340511040246,0.033459211433195184,0.00971891050061752,0.00971891050061752,0.010888106984464631,0.010208614674232229,0.01192992532573994,0.011912235213188791,0.015496961075532674,2.861721721556184e-4,0.003927757683078928,0.00749323651216168,-0.0017279507509837257,-0.001206211864032693,0.03082372723773551,3.5400727343780857e-4,0.007648703915979645,0.014790946317138978,-0.0036806132733047327,-0.0026354841954596723,0.011889540479547626,0.011415302541412634,0.01202206044990167,0.011742613733817362,0.012555362718279225,0.012522214846421256,0.010429510106988175,0.009479533267311505,0.01069496947349535,0.010135191592274398,0.011763261912303771,0.011696861255550162,0.86984,0.84803,0.83666,0.85397,0.80528,0.80716,0.9481781214318623,0.9044890927665712,0.8817131067085996,0.9163878928707357,0.8188537889865988,0.8226197391879169,0.32021855109164066,2.1855109164066764e-4,0.013344964434269972,0.7917490365222948,0.32036533954974455,3.6533954974453105e-4,0.013335682294424668,0.79216,0.011649501171982771,0.011415334800248521,0.012006753237017056,0.011686582006210231,0.012552502429505693,0.012520885108211404,0.009479597838147958,0.009479597838147958,0.010636679872149462,0.009916618145541857,0.011749950369129538,0.011690149651591996,0.01334518315231082,0,1.377012362878711e-4,7.061718252667924e-5,5.475842722797332e-4,4.3536304710854864e-4,0.10793285492371066,0.1068425701686763,0.10957533133427914,0.1081044957724249,0.11203795084481728,0.11189676093708613,0.09736322631336719,0.09736322631336719,0.10313428078068641,0.09958221801879016,0.10839718801301784,0.1081209954245335
150,1500,150,1500,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,0.002960579471584435,0.49956,0.50044,383.61819598753095,0.33510863804023805,0.31956616548620354,0.3233335768635978,0.32697432906317014,0.3175515801742691,0.3181207841793745,0.3505486185317314,0.31949100412434084,0.3270192020649416,0.33429430437405433,0.3154653760531746,0.31660278314514456,0.031057614407390556,0.02352941646678977,0.01625431415767708,0.03508324247855679,0.033945835386586874,0.009581092949456058,0.00958109294945606,0.010795043373688522,0.010089280804589186,0.011878274790003212,0.01185617148403424,0.015108638040238058,-4.3383451379648037e-4,0.0033335768635977866,0.0069743290631701415,-0.0024484198257309015,-0.001879215820625475,0.030548618531731405,-5.089958756591711e-4,0.007019202064941634,0.014294304374054325,-0.004534623946825387,-0.0033972168548554674,0.011798706141175083,0.011331816130509527,0.01195861257963238,0.011666149998474687,0.012516655297638471,0.012487595752726401,0.010305181483293197,0.009372222465897393,0.01062471317232145,0.010040302291581113,0.01173981731668659,0.011681749326693643,0.87054,0.84905,0.83602,0.85465,0.80467,0.80636,0.9490448405403246,0.9061026296858764,0.880065542322756,0.9172927823515307,0.8174206698105667,0.8207976980257373,0.31964145924857557,-3.5854075142446315e-4,0.013294861717663213,0.7918968692449355,0.3195579892055896,-4.4201079441039793e-4,0.013313675556938518,0.79105,0.011570550903253186,0.01133174123553652,0.011947619321120078,0.011617624908842395,0.012510785645851898,0.012484189142517338,0.009372150667304477,0.009372150667304478,0.010575655301831124,0.00983617170451268,0.01171948868603954,0.011670441447944511,0.013294999300376871,0,1.429925420656488e-4,7.382962140806068e-5,5.636959438902014e-4,4.515987028808227e-4,0.1075664952634099,0.1064506516444898,0.10930516603125434,0.10778508667177661,0.11185162334920266,0.11173266819743158,0.09680986864625153,0.09680986864625155,0.1028380051431917,0.09917747579220133,0.1082565872639607,0.10802981740216222
150,10,150,10,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,stepwise,2,1000,-9.422439540640942e-4,0.50027,0.49973,364.55712084525646,0.3237861527633243,0.31971666387543685,0.3206976490554281,0.3216519810164162,0.3191855878207306,0.31932936940998446,0.3274576131546699,0.31931423795628794,0.32127726835268444,0.3231869635100457,0.31825151197484547,0.3185392305213684,0.008143375198381993,0.006180344801985487,0.004270649644624227,0.009206101179824481,0.008918382633301537,0.012969981767313506,0.012969981767313505,0.013055488437198436,0.013002287945633158,0.013136017864408475,0.013128897974762091,0.0037861527633242555,-2.833361245631758e-4,6.976490554280484e-4,0.0016519810164161905,-8.144121792694327e-4,-6.706305900155215e-4,0.007457613154669918,-6.857620437120715e-4,0.001277268352684431,0.0031869635100456907,-0.0017484880251545643,-0.0014607694786316196,0.013181038255058185,0.013153480282211714,0.013197062351061032,0.013174524979425312,0.013237918076263793,0.013236164266714225,0.013111467120007159,0.013056321395623047,0.013143532627386836,0.01309843353060313,0.013225288225815509,0.013221778711578685,0.8046,0.795,0.79601,0.79893,0.79147,0.792,0.8169411482200388,0.7977307746182939,0.7997518660076441,0.8055950213115082,0.7906669601584856,0.7917275328677486,0.3201186554091612,1.1865540916116833e-4,0.013250534293835346,0.7922721730265656,0.3197169619044087,-2.8303809559132505e-4,0.013291709107537878,0.791,0.013166834970660663,0.013153531538167612,0.013196707603932531,0.013171927657423286,0.01323738718293788,0.013235846879794759,0.013056112389372437,0.013056112389372437,0.01314216419823809,0.013088538706395487,0.013222495608233673,0.013219909405149248,0.013250785087399729,0,9.830297512188367e-6,5.0838138364202445e-6,3.874517091873982e-5,3.109308926370088e-5,0.11474682989373024,0.11468884661625825,0.11487692372244537,0.11476901871769787,0.1150538447116735,0.11504715068090456,0.11426334665750185,0.11426334665750185,0.11463927860135063,0.11440515157280064,0.11498911082460667,0.11497786484862749
150,50,150,50,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,stepwise,2,1000,-6.300040943900972e-4,0.50054,0.49946,383.5523365234453,0.3275550515838432,0.3194204712306754,0.32136971974603157,0.32328321659794773,0.3183340640379447,0.31862299694273755,0.3358203627899408,0.3195336123931768,0.32343632435280545,0.3272674556784695,0.31735844883106823,0.3179369394104797,0.01628675039676401,0.012384038437135335,0.008552907111471305,0.018461913958872568,0.017883423379461114,0.012224161341774826,0.012224161341774828,0.012559830201534637,0.012362859152701501,0.012861501153674793,0.012852941102299143,0.007555051583843163,-5.795287693245929e-4,0.0013697197460315487,0.0032832165979477046,-0.0016659359620553296,-0.0013770030572624855,0.015820362789940798,-4.6638760682322016e-4,0.003436324352805462,0.0072674556784694914,-0.0026415511689317707,-0.0020630605895203182,0.012964373734896879,0.012839475590029266,0.013012511473373088,0.012931288222459486,0.013168433605766606,0.013160282814132822,0.012600488707204519,0.012350422345798973,0.012696868274089172,0.012534246140357535,0.013009049694810584,0.012992730486798366,0.82368,0.80687,0.80553,0.8134,0.7934,0.7945,0.8563248308172826,0.8226684819605173,0.8199855844311856,0.835742602010171,0.795699355303728,0.7979017338725823,0.31930757418943406,-6.924258105659236e-4,0.013327473618884627,0.7911056059455788,0.3194043748593938,-5.95625140606166e-4,0.013381391038757864,0.79011,0.012907424004702395,0.012839268129116082,0.013010765448844908,0.012920637917609622,0.013165789921036146,0.013158518261895732,0.012350452104499454,0.012350452104499454,0.012685313929609103,0.01248168013181743,0.013002332230031123,0.012988734323348792,0.013327260423031687,0,3.960201252637335e-5,2.0357212303553062e-5,1.5695676578495444e-4,1.2520755308302906e-4,0.11361084457349305,0.1133104943467995,0.11406474235645697,0.11366898397368397,0.11474227608443256,0.11471058478578047,0.11113258795015733,0.11113258795015733,0.11262909894698218,0.1117214398932337,0.11402776955650375,0.11396812854192523
150,150,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,stepwise,2,1000,9.39372813669033e-4,0.49922,0.50078,384.1720116618076,0.3312391629587387,0.31970472561392166,0.32247927352068245,0.3251918855190332,0.3181896084425554,0.31859681335265505,0.34275064181991555,0.3197176985218265,0.3252581512291247,0.3306749250586522,0.3166921839817764,0.3175053253015169,0.023032943298089026,0.01749249059079085,0.012075716761263358,0.026058457838139138,0.0252453165183986,0.011220473445943955,0.011220473445943955,0.011888787645012486,0.011500593575931287,0.012484757436518777,0.012473294363675334,0.011239162958738684,-2.952743860783382e-4,0.002479273520682443,0.005191885519033219,-0.0018103915574446336,-0.0014031866473449652,0.022750641819915533,-2.823014781734928e-4,0.0052581512291246845,0.010674925058652175,-0.0033078160182236057,-0.002494674698483064,0.012456395618798195,0.012197235954884348,0.01253877476333205,0.01237879148765114,0.012846316615433943,0.012828031409645826,0.011598458786787435,0.011080946777693924,0.011762960453255453,0.011443492272255995,0.012377086121416908,0.0123405726708236,0.84617,0.82426,0.81976,0.83144,0.79979,0.80102,0.8998362554415112,0.8560845081672591,0.8470985262989736,0.8704221414593235,0.8072207356523823,0.8096769040297136,0.31969171216730374,-3.08287832696239e-4,0.013317013395999326,0.7923360442289973,0.3196979998271766,-3.0200017282339017e-4,0.013286993829073578,0.79222,0.01233020013678648,0.01219727074062868,0.01253275329367463,0.012351959332001713,0.012843167529517972,0.012826190738785928,0.01108108836014509,0.01108108836014509,0.011735546644261241,0.011329764489599877,0.012366391417204383,0.012334595576643913,0.01331718511445919,0,7.868381449084217e-5,4.025629787116703e-5,3.097053905592265e-4,2.4906886314836915e-4,0.11104143432424889,0.1104412547041579,0.11194978023057763,0.11113936895628711,0.11332769974511074,0.11325277364720887,0.10526674859681517,0.10526674859681517,0.10833072807039211,0.10644136643993198,0.11120427787277062,0.11106122445139849
