n_01,n_11,n_02,n_12,n_22,mu0,theta1,theta2,sigma,alpha,futility_bound,lambda0,lambda1,lambda2,trend_pattern,period_blocks,B_boot,Z_1,arm_1_stop,arm_1_cont,boot_stop,theta2_tilde_unadj,theta2_tilde_adj_theta1_true,theta2_tilde_adj_theta1_per12,theta2_tilde_adj_theta1_per1,theta2_tilde_adj_theta1_per2,theta2_tilde_adj_theta1_rao,theta2_tilde_unadj_cond,theta2_tilde_adj_theta1_true_cond,theta2_tilde_adj_theta1_per12_cond,theta2_tilde_adj_theta1_per1_cond,theta2_tilde_adj_theta1_per2_cond,theta2_tilde_adj_theta1_rao_cond,bias_est_theta1_true,bias_est_theta1_per12,bias_est_theta1_per1,bias_est_theta1_per2,bias_est_theta1_rao,var_boot_est_unadj,var_boot_est_adj_theta1_true,var_boot_est_adj_theta1_per12,var_boot_est_adj_theta1_per1,var_boot_est_adj_theta1_per2,var_boot_est_adj_theta1_rao,bias_arm2_unadj,bias_arm2_adj_theta1_true,bias_arm2_adj_theta1_per12,bias_arm2_adj_theta1_per1,bias_arm2_adj_theta1_per2,bias_arm2_adj_theta1_rao,bias_arm2_unadj_cond,bias_arm2_adj_theta1_true_cond,bias_arm2_adj_theta1_per12_cond,bias_arm2_adj_theta1_per1_cond,bias_arm2_adj_theta1_per2_cond,bias_arm2_adj_theta1_rao_cond,MSE_arm2_unadj,MSE_arm2_adj_theta1_true,MSE_arm2_adj_theta1_per12,MSE_arm2_adj_theta1_per1,MSE_arm2_adj_theta1_per2,MSE_arm2_adj_theta1_rao,MSE_arm2_unadj_cond,MSE_arm2_adj_theta1_true_cond,MSE_arm2_adj_theta1_per12_cond,MSE_arm2_adj_theta1_per1_cond,MSE_arm2_adj_theta1_per2_cond,MSE_arm2_adj_theta1_rao_cond,reject_h02_unadj,reject_h02_adj_theta1_true,reject_h02_adj_theta1_per12,reject_h02_adj_theta1_per1,reject_h02_adj_theta1_per2,reject_h02_adj_theta1_rao,reject_h02_unadj_cond,reject_h02_adj_theta1_true_cond,reject_h02_adj_theta1_per12_cond,reject_h02_adj_theta1_per1_cond,reject_h02_adj_theta1_per2_cond,reject_h02_adj_theta1_rao_cond,theta2_tilde_unadj_stop,bias_arm2_unadj_stop,MSE_arm2_unadj_stop,reject_h02_unadj_stop,theta2_sep,bias_arm2_sep,MSE_arm2_sep,reject_h02_sep,var_theta2_tilde_unadj,var_theta2_tilde_adj_theta1_true,var_theta2_tilde_adj_theta1_per12,var_theta2_tilde_adj_theta1_per1,var_theta2_tilde_adj_theta1_per2,var_theta2_tilde_adj_theta1_rao,var_theta2_tilde_unadj_cond,var_theta2_tilde_adj_theta1_true_cond,var_theta2_tilde_adj_theta1_per12_cond,var_theta2_tilde_adj_theta1_per1_cond,var_theta2_tilde_adj_theta1_per2_cond,var_theta2_tilde_adj_theta1_rao_cond,var_theta2_tilde_unadj_stop,var_bias_est_theta1_true,var_bias_est_theta1_per12,var_bias_est_theta1_per1,var_bias_est_theta1_per2,var_bias_est_theta1_rao,sd_bias_arm2_unadj,sd_bias_arm2_adj_theta1_true,sd_bias_arm2_adj_theta1_per12,sd_bias_arm2_adj_theta1_per1,sd_bias_arm2_adj_theta1_per2,sd_bias_arm2_adj_theta1_rao,sd_bias_arm2_unadj_cond,sd_bias_arm2_adj_theta1_true_cond,sd_bias_arm2_adj_theta1_per12_cond,sd_bias_arm2_adj_theta1_per1_cond,sd_bias_arm2_adj_theta1_per2_cond,sd_bias_arm2_adj_theta1_rao_cond
10,10,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-0.002893414237617051,0.50032,0.49968,366.9411423310919,0.32581702103763027,0.32024520142288515,0.32041570139482106,0.32289284439470983,0.32019174191968935,0.32019308246627504,0.330996153118309,0.3198453773923542,0.3201865957159531,0.3251440544893456,0.3197383899139764,0.3197410727241463,0.011150775725954817,0.010809557402355938,0.005852098628963432,0.011257763204332626,0.011255080394162715,0.012956712712560995,0.012956712712560997,0.013192443612653605,0.013017984462232813,0.013206405477346427,0.013206703216542328,0.005817021037630263,2.452014228851663e-4,4.1570139482104823e-4,0.0028928443947098155,1.917419196893367e-4,1.9308246627503718e-4,0.010996153118309003,-1.546226076458022e-4,1.8659571595306497e-4,0.0051440544893455705,-2.6161008602362324e-4,-2.589272758537135e-4,0.013158866417637118,0.013098459365283947,0.013218841639848595,0.013140645547634517,0.013226331935941797,0.013226192674897103,0.013124453353061115,0.013003561877810614,0.013244480614931666,0.013087988275406215,0.01325947080083705,0.013259192100379371,0.81083,0.79796,0.79471,0.80329,0.79405,0.79403,0.8275496317643292,0.8017931476144733,0.7952889849503683,0.8124599743836055,0.79396813960935,0.7939281139929555,0.3206445140059834,6.445140059834121e-4,0.013193235461663615,0.7941317556763672,0.32023913211419464,2.3913211419464555e-4,0.013269807514949947,0.79243,0.01312515993548424,0.013098530226848431,0.01321880102020914,0.013132408323025743,0.013226427435252383,0.01322628765693489,0.013003798212179275,0.013003798212179276,0.013244710860828538,0.013061788381882457,0.013259667724186864,0.013259390414682371,0.013193083756271368,0,4.6012120556245406e-6,9.557342452964528e-6,5.2857956851385845e-6,5.168533737084171e-6,0.11456509038744847,0.11444881050866554,0.11497304475488652,0.1145967203851216,0.11500620607276976,0.115005598372144,0.11403419755573008,0.11403419755573008,0.11508566748656646,0.11428818128696623,0.1151506305852767,0.11514942646267227
50,50,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-0.0020441338944301576,0.50125,0.49875,381.97259147869676,0.3296013603783003,0.3196527372607896,0.3208596203629272,0.3243854172909242,0.31919011920659884,0.3192423023022355,0.3396335301070905,0.31968641608701887,0.32210623183065323,0.3291754988542061,0.3187588610911477,0.3188634888518227,0.019947114020071644,0.01752729827643727,0.010458031252884428,0.020874669015942808,0.020770041255267827,0.012151562535892424,0.012151562535892424,0.012797515172929928,0.012359481304418274,0.012984873789165708,0.012990919858722045,0.009601360378300294,-3.472627392104407e-4,8.596203629272051e-4,0.004385417290924186,-8.098807934011827e-4,-7.576976977645356e-4,0.019633530107090503,-3.135839129811466e-4,0.002106231830653231,0.009175498854206075,-0.0012411389088523084,-0.001136511148177327,0.01271523652756857,0.012523029664232788,0.012850712337922844,0.01265747496522326,0.01295161162375092,0.012949139563938217,0.012403953179482726,0.012018576009887176,0.012675583876934907,0.01228814052315128,0.012877888209422279,0.012872931698519614,0.83246,0.81109,0.80345,0.81901,0.796,0.79583,0.8703358395989975,0.8274887218045113,0.8121704260651629,0.8433684210526315,0.797233082706767,0.7968922305764411,0.31961922640875595,-3.8077359124407745e-4,0.013024967340252488,0.7947730673316709,0.31963483995586184,-3.6516004413817695e-4,0.013145013959519046,0.79276,0.012623176638220957,0.012523034303165776,0.012850101891773403,0.012638369464102366,0.012951085227703678,0.012948694945086471,0.012018718651831772,0.01201871865183177,0.012671401727602984,0.012204195439575656,0.012876605961194344,0.012871898124100091,0.01302508220373874,0,4.497298738775848e-5,3.0360923197357707e-5,8.186955126955783e-5,7.435410130381424e-5,0.11235291112481668,0.11190636399761086,0.1133582899120016,0.11242050286358964,0.11380283488430189,0.11379233254084596,0.10962991677380665,0.10962991677380664,0.11256732086890486,0.11047260040198048,0.11347513366898646,0.11345438785741206
150,150,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-0.0017976083914505662,0.50034,0.49966,385.67123644077975,0.33103570061358856,0.3195270601652654,0.32230120298602594,0.32499025179664803,0.3180260818331435,0.3184287210604012,0.3433152907464125,0.32028234744832346,0.32583440849135376,0.331216165707505,0.31727834806449867,0.3180841744809773,0.023032943298089026,0.017480882255058724,0.012099125038907498,0.026036942681913807,0.025231116265435165,0.011223633021183054,0.011223633021183054,0.011891955905957376,0.011503611417114432,0.012487408930395039,0.012476724912157263,0.011035700613588547,-4.7293983473461543e-4,0.002301202986025905,0.004990251796648026,-0.0019739181668565055,-0.0015712789395987872,0.023315290746412493,2.8234744832346577e-4,0.005834408491353767,0.011216165707504994,-0.002721651935501315,-0.001915825519022673,0.012456541096150695,0.01218496436273786,0.01252688958746697,0.012369443874116717,0.012825967359299252,0.012807989149894465,0.011567515612724366,0.011023992550216192,0.011708308334407664,0.011393202635832128,0.01230687090061725,0.012270890014805323,0.84472,0.82385,0.81899,0.83061,0.79852,0.79995,0.9003522395228756,0.8585838370091662,0.8488572229115798,0.8721130368650682,0.8078893647680423,0.8107513108914062,0.3187727993748972,-0.0012272006251027668,0.013344358326531634,0.7891633689091417,0.31959469035296234,-4.0530964703768663e-4,0.013278282894104149,0.79141,0.012334877756895504,0.012184862539275974,0.012521719269476771,0.012344664707769846,0.012822199228362089,0.012805648288871327,0.01102413346283411,0.01102413346283411,0.011674501660878162,0.01126762576851327,0.012299709672942567,0.012267465143639909,0.013343118986193999,0,7.880825380284428e-5,4.044867926309511e-5,3.133848498433471e-4,2.4890941843404583e-4,0.11106249482564086,0.11038506483793889,0.11190048824503301,0.11110654664676535,0.11323515014500617,0.1131620443826963,0.10499587355145967,0.10499587355145967,0.10804860786182376,0.10614907332856595,0.1109040561609113,0.11075858948018392
300,300,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,0.0021764784937073384,0.49853,0.50147,386.89949548327917,0.3306419056895293,0.31975215006090896,0.3232186726365747,0.3249171858854743,0.3170524113581304,0.3181188668329694,0.3418539257627325,0.32013825856704714,0.3270509803164355,0.33043804883279654,0.3147546090909497,0.3168812676644218,0.021715667195685344,0.014802945446297035,0.011415876929935941,0.027099316671782767,0.024972658098310698,0.010714337457886561,0.010714337457886561,0.011193467530789267,0.010963789181958247,0.012079496302353632,0.011990021468638992,0.010641905689529295,-2.478499390910355e-4,0.0032186726365747206,0.00491718588547432,-0.0029475886418696092,-0.0018811331670305698,0.021853925762732495,1.382585670471478e-4,0.007050980316435459,0.010438048832796554,-0.005245390909050273,-0.0031187323355782023,0.012213016778158337,0.011973527265067462,0.012234590569998696,0.012145515836787472,0.012672077760982147,0.012627010199396322,0.011146216171376361,0.010668641215564701,0.011189237273018255,0.011011610030688256,0.012061646771060912,0.01197177586834325,0.8497,0.83023,0.82967,0.83666,0.80094,0.80529,0.911141244740463,0.8723153927453288,0.8711986758928749,0.885137695176182,0.8139071130875227,0.8225816100664047,0.31936376454233817,-6.362354576618632e-4,0.01328610866888298,0.7878964154614567,0.31982954548607845,-1.704545139215495e-4,0.013294701768711765,0.79062,0.012099887620329704,0.011973585571330868,0.012224352959986862,0.012121458334338506,0.012663516117341643,0.012623597773381954,0.010668834851341813,0.010668834851341813,0.011139743091360533,0.010902874585534371,0.012034372627177905,0.01196228792140005,0.013285970376251522,0,6.750752281365122e-5,3.618873294611954e-5,5.36066027247863e-4,3.830284098262437e-4,0.10999948918213077,0.10942388026080445,0.1105637958826797,0.11009749467784681,0.11253228922110153,0.112354785271398,0.10329005204443366,0.10329005204443366,0.1055449813651058,0.10441683094948999,0.10970128817465137,0.1093722447488395
600,600,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,0.006161267844633864,0.49855,0.50145,384.5568451490677,0.32893508775959407,0.31969519222613263,0.3232010326241024,0.32410072994060657,0.3153288467421838,0.3177244478423064,0.3379538171796969,0.3195274625412257,0.326518868260579,0.328313059738302,0.3108200231475696,0.3155973710389299,0.018426354638471212,0.011434948919117907,0.009640757441394945,0.02713379403212728,0.022356446140767046,0.01035201382083252,0.010352013820832522,0.010632084681072122,0.010531878972433956,0.01172329234591935,0.011472704400405792,0.008935087759594037,-3.0480777386734925e-4,0.0032010326241023626,0.0041007299406065414,-0.004671153257816188,-0.002275552157693598,0.01795381717969691,-4.725374587742943e-4,0.006518868260579004,0.008313059738301966,-0.009179976852430369,-0.004402628961070134,0.011985046673973206,0.011823521475560664,0.011976215401764826,0.01193767511758262,0.012529837790117865,0.012390582982296679,0.010623808160731142,0.010301691901059108,0.010606196689580719,0.010529339008491467,0.011710239741436416,0.011432535468186466,0.85244,0.83602,0.83876,0.84174,0.80377,0.81329,0.9139694884833981,0.8812244490976169,0.8866886030511517,0.8926313690298135,0.8169109582211587,0.8358959018845349,0.3198638975726307,-1.3610242736932982e-4,0.013354203333215475,0.7905526025473875,0.3194362392280924,-5.637607719076282e-4,0.013315354551715826,0.79108,0.011905329934000898,0.011823546803249686,0.011966088452788787,0.011920978341320247,0.012508143198791847,0.012385528699961294,0.01030167404712074,0.010301674047120742,0.010563911713481037,0.010460440650140693,0.011626199618047915,0.011413379933954436,0.013354452675209249,0,4.21795543349712e-5,2.5904295456598167e-5,7.625126548242814e-4,4.6141013791737694e-4,0.10911154812393094,0.10873613384358341,0.10938961766451506,0.1091832328762995,0.1118398104379288,0.11129029023217296,0.10149716275404323,0.10149716275404323,0.10278089177216278,0.10227629564146666,0.10782485621621721,0.10683342142772755
1050,1050,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,0.00535552828596335,0.49878,0.50122,383.6228003671043,0.327155281585595,0.31951926506534234,0.32271991788926035,0.323167919915292,0.3141294119714427,0.317712032964849,0.335321001422756,0.32008614144060715,0.32647186592071176,0.32736568904435337,0.30933267371406065,0.31648047506557564,0.015234859982148857,0.008849135502044263,0.007955312378402662,0.02598832770869536,0.01884052635718041,0.010183709139302435,0.010183709139302435,0.010349186778693108,0.0103067808870604,0.011516534742043474,0.011094299636114876,0.007155281585594978,-4.807349346576712e-4,0.002719917889260353,0.0031679199152919954,-0.005870588028557311,-0.002287967035150987,0.015321001422756025,8.61414406071696e-5,0.006471865920711762,0.007365689044353362,-0.010667326285939336,-0.0035195249344243847,0.011850547693594076,0.01173289849615954,0.011832347723388061,0.01181408433909066,0.012449026513928896,0.012195782055990863,0.010439559141040632,0.01020483347679233,0.01040324780030001,0.010366809940084137,0.011633603313928428,0.011128347222914437,0.85175,0.83859,0.84233,0.84376,0.80292,0.81862,0.914149475280316,0.8878935397629784,0.8953553329875105,0.898208371573361,0.8167271856669726,0.8480507561549818,0.3189496155669458,-0.0010503844330542458,0.013268438712301395,0.7890452704599222,0.3195252296963698,-4.747703036301985e-4,0.013339166351800975,0.79055,0.011799467633701257,0.01173278471792932,0.01182506802074395,0.011804166664167599,0.012414686856996426,0.012190669169528622,0.010205029660244473,0.010205029660244473,0.010361569478780093,0.010312762318194566,0.011520041303854173,0.011116181949640121,0.013267601405914924,0,2.4675922638582935e-5,1.761764415007011e-5,8.752267577113711e-4,4.4407739048723643e-4,0.1086253544698532,0.10831797966140856,0.10874312861392185,0.10864698184564354,0.11142121367583656,0.1104113634076159,0.1010199468434055,0.1010199468434055,0.10179179475173868,0.10155177161524345,0.10733145533278757,0.10543330569435884
1500,1500,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-0.001170471165227151,0.49987,0.50013,387.9970407694,0.3267631901115394,0.32013996288012103,0.3229986770572968,0.3232792861954778,0.31398651392129734,0.3182920586642606,0.33297826748987497,0.319735256209971,0.325451198419348,0.3260122708168868,0.3074315572540521,0.3160404084386706,0.013243011279903977,0.007527069070526964,0.0069659966729882245,0.025546710235822896,0.01693785905120439,0.010098243632556366,0.010098243632556366,0.010214609234713628,0.010191258781382589,0.01141785642952311,0.010885027922261203,0.0067631901115394145,1.399628801210427e-4,0.0029986770572967636,0.003279286195477814,-0.006013486078702691,-0.0017079413357394386,0.01297826748987497,-2.647437900289974e-4,0.005451198419348007,0.006012270816886747,-0.012568442745947926,-0.0039595915613294215,0.011770343225083219,0.011686138668707116,0.011756649061932795,0.011746672918684115,0.012407172191880778,0.012097893093053636,0.010361291315086408,0.010192925977322022,0.010333910107899432,0.010313963007648136,0.011634618183695692,0.011016220769369133,0.85169,0.84028,0.84396,0.84488,0.80445,0.82395,0.9095035290824386,0.8866894607402075,0.8940475476376142,0.8958870693619659,0.8150480874972507,0.8540379501329655,0.3205448800524701,5.448800524701326e-4,0.013180128032626586,0.7938464000640166,0.32020263351613,2.0263351613000117e-4,0.013316805756598936,0.79284,0.01172471973179571,0.011686235941458718,0.011747774475583594,0.011736036561097875,0.012371133888400911,0.012095096980417113,0.010193059696251455,0.010193059696251457,0.010304400578134938,0.010278021114263016,0.011476881908611418,0.011000762362094728,0.0131800948088055,0,1.7448000642141206e-5,1.3454108973616935e-5,9.507083949333744e-4,4.351743265193742e-4,0.10828074497248212,0.10810289515761692,0.10838715087861474,0.10833298925580276,0.11122559906964273,0.10997771128922948,0.10096068391335042,0.10096068391335043,0.10151059342814886,0.10138057562601929,0.10713021006518851,0.10488451917272981
10,10,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,stepwise,2,1000,0.0012783649173432655,0.49713,0.50287,368.14795076262254,0.325366384033496,0.3197589934441851,0.3199232352765183,0.32241123247614095,0.3196991277146728,0.31969879093159986,0.3304883933336105,0.3193376176076557,0.3196642265370672,0.32461182173984854,0.319218569484856,0.3192178997629141,0.011150775725954817,0.010824166796543274,0.005876571593761937,0.011269823848754494,0.011270493570696432,0.012927801779278556,0.012927801779278558,0.013162796518358964,0.012989217906223899,0.013176674189608165,0.013177018097706128,0.005366384033495987,-2.4100655581490554e-4,-7.676472348172932e-5,0.0024112324761409215,-3.008722853271849e-4,-3.012090684001283e-4,0.010488393333610496,-6.623823923443092e-4,-3.357734629327789e-4,0.004611821739848558,-7.814305151439976e-4,-7.821002370859378e-4,0.013226840337020101,0.01317174205573758,0.013291136560568205,0.013213568319112324,0.013298619552302762,0.013298674970059828,0.013111312581617818,0.013001744937330983,0.013239171120699696,0.01308492003899691,0.013254051689702733,0.013254161892651934,0.80969,0.79653,0.79335,0.802,0.79256,0.79255,0.8276095213474656,0.801439735915843,0.7951160339650407,0.8123172987054308,0.7935450514049357,0.7935251655497445,0.32018523460226356,1.852346022635472e-4,0.013343702007728256,0.791563574920041,0.31979038346361643,-2.096165363835778e-4,0.013336777853791884,0.79108,0.013198174241167551,0.013171815689734532,0.013291263580381237,0.013207886355921886,0.013298662014790833,0.013298717230329243,0.013001564734130855,0.013001564734130857,0.013239321652114491,0.01306391092627768,0.013253704617303503,0.013253813775292552,0.01334393611532033,0,4.52791219183616e-6,9.405536538952414e-6,5.216792344465367e-6,5.086571984243e-6,0.11488330706054536,0.11476853092086929,0.11528774254178645,0.11492556876483964,0.11531982489923766,0.11532006430075056,0.11402440411653487,0.11402440411653489,0.11506225120392218,0.11429746684103581,0.11512473503684385,0.11512520912160182
50,50,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,stepwise,2,1000,0.004716765829544033,0.49718,0.50282,383.63660952229424,0.3300115508170814,0.31998174294550896,0.32120758393891946,0.3247363351803551,0.31953689137600033,0.31957968404149006,0.340005753375945,0.32005863935587336,0.322496571405932,0.3295144928120727,0.3191739260001822,0.3192590313370616,0.019947114020071644,0.01750918197001297,0.010491260563872321,0.020831827375762835,0.02074672203888337,0.01212495336537698,0.012124953365376978,0.0127696298798416,0.012332734606609403,0.012956680298500424,0.01296256701456515,0.010011550817081383,-1.8257054491043068e-5,0.001207583938919461,0.004736335180355102,-4.6310862399968536e-4,-4.2031595850995423e-4,0.02000575337594499,5.863935587334298e-5,0.00249657140593202,0.009514492812072669,-8.260739998178433e-4,-7.409686629383812e-4,0.01279966909069204,0.012598427086532128,0.0129308483128375,0.012740446488757457,0.013030828622341964,0.013029090942130693,0.012469545938761172,0.012069319209196093,0.012730432980138724,0.012351765019277892,0.012929272146250781,0.012925816276931198,0.83202,0.81085,0.80319,0.81836,0.79562,0.79595,0.8696352571496758,0.8275327154846664,0.812298635694682,0.842468477785291,0.7972435463983135,0.7978998448749055,0.3199039742237997,-9.60257762003246e-5,0.013133537153071619,0.7939780361237379,0.32003592540367837,3.5925403678349204e-5,0.013221200700516408,0.79222,0.012699564936578403,0.012598552738739477,0.012929519349061456,0.012718140799224781,0.013030744460188943,0.013029044567071385,0.012069555807927792,0.01206955580792779,0.012724453173148745,0.012261483300134506,0.01292884687474027,0.012925524303035658,0.013133792097858636,0,4.486734905819104e-5,3.047503555146754e-5,8.163316106503945e-5,7.41575056407004e-5,0.11269234639751896,0.11224327480405887,0.11370804434630584,0.1127747347557279,0.11415228626790155,0.11414484029981987,0.10986153015468059,0.10986153015468057,0.11280271793334036,0.110731582216342,0.11370508728610286,0.11369047586775094
150,150,150,150,150,0,0,0.32,1,0.025,0.5,0.15,0.15,0.15,stepwise,2,1000,0.0048332076451713555,0.49785,0.50215,383.128766304889,0.33212846160156506,0.32056246912442965,0.32337789433077185,0.3260776035347798,0.31907985492490126,0.3195155575436261,0.34415307772504217,0.32112013442695314,0.32672687585151194,0.33210317616816626,0.3181676019176862,0.3190352761559115,0.023032943298089026,0.01742620187353023,0.012049901556875882,0.025985475807355937,0.02511780156913066,0.01122560329118795,0.01122560329118795,0.011893308648384258,0.011505724980845284,0.0124881944095246,0.012476196356281447,0.012128461601565048,5.624691244296441e-4,0.0033778943307718446,0.006077603534779825,-9.20145075098736e-4,-4.8444245637391237e-4,0.02415307772504215,0.0011201344269531227,0.00672687585151192,0.012103176168166266,-0.0018323980823137897,-9.647238440885112e-4,0.012466778879263604,0.01217446909764058,0.0125224597621311,0.012372713417391894,0.012810792899996119,0.012796860458458837,0.011683201623360655,0.011101085160903175,0.011794086583765902,0.011495876198942233,0.012368283811417042,0.012340538234323978,0.8473,0.82655,0.82213,0.83365,0.80191,0.80323,0.9025191675794085,0.8611968535298218,0.8523947027780544,0.8753360549636563,0.8121278502439511,0.8147565468485513,0.31999998718878203,-1.2811217970135357e-8,0.013257124001392088,0.791603896756051,0.3205683948698532,5.683948698532178e-4,0.01325063450328052,0.79393,0.01231980249646793,0.012174274468869333,0.012511174703768276,0.012335899511661043,0.012810074333780229,0.012796753741502714,0.011100051510281728,0.011100051510281728,0.011749069700344464,0.011349615346003684,0.012365172373280678,0.012339853282610636,0.01325739029425713,0,7.750305328056127e-5,4.022738101483869e-5,3.0876812111482147e-4,2.447316928879784e-4,0.11099460570887186,0.1103370947092107,0.11185336250541722,0.11106709463950627,0.11318159891864149,0.11312273750887888,0.10535678198522261,0.10535678198522261,0.10839312570612798,0.10653457347736313,0.11119879663593792,0.11108489223387057
