n_01,n_11,n_02,n_12,n_22,mu0,theta1,theta2,sigma,alpha,futility_bound,lambda0,lambda1,lambda2,trend_pattern,period_blocks,B_boot,Z_1,arm_1_stop,arm_1_cont,boot_stop,theta2_tilde_unadj,theta2_tilde_adj_theta1_true,theta2_tilde_adj_theta1_per12,theta2_tilde_adj_theta1_per1,theta2_tilde_adj_theta1_per2,theta2_tilde_adj_theta1_rao,theta2_tilde_unadj_cond,theta2_tilde_adj_theta1_true_cond,theta2_tilde_adj_theta1_per12_cond,theta2_tilde_adj_theta1_per1_cond,theta2_tilde_adj_theta1_per2_cond,theta2_tilde_adj_theta1_rao_cond,bias_est_theta1_true,bias_est_theta1_per12,bias_est_theta1_per1,bias_est_theta1_per2,bias_est_theta1_rao,var_boot_est_unadj,var_boot_est_adj_theta1_true,var_boot_est_adj_theta1_per12,var_boot_est_adj_theta1_per1,var_boot_est_adj_theta1_per2,var_boot_est_adj_theta1_rao,bias_arm2_unadj,bias_arm2_adj_theta1_true,bias_arm2_adj_theta1_per12,bias_arm2_adj_theta1_per1,bias_arm2_adj_theta1_per2,bias_arm2_adj_theta1_rao,bias_arm2_unadj_cond,bias_arm2_adj_theta1_true_cond,bias_arm2_adj_theta1_per12_cond,bias_arm2_adj_theta1_per1_cond,bias_arm2_adj_theta1_per2_cond,bias_arm2_adj_theta1_rao_cond,MSE_arm2_unadj,MSE_arm2_adj_theta1_true,MSE_arm2_adj_theta1_per12,MSE_arm2_adj_theta1_per1,MSE_arm2_adj_theta1_per2,MSE_arm2_adj_theta1_rao,MSE_arm2_unadj_cond,MSE_arm2_adj_theta1_true_cond,MSE_arm2_adj_theta1_per12_cond,MSE_arm2_adj_theta1_per1_cond,MSE_arm2_adj_theta1_per2_cond,MSE_arm2_adj_theta1_rao_cond,reject_h02_unadj,reject_h02_adj_theta1_true,reject_h02_adj_theta1_per12,reject_h02_adj_theta1_per1,reject_h02_adj_theta1_per2,reject_h02_adj_theta1_rao,reject_h02_unadj_cond,reject_h02_adj_theta1_true_cond,reject_h02_adj_theta1_per12_cond,reject_h02_adj_theta1_per1_cond,reject_h02_adj_theta1_per2_cond,reject_h02_adj_theta1_rao_cond,theta2_tilde_unadj_stop,bias_arm2_unadj_stop,MSE_arm2_unadj_stop,reject_h02_unadj_stop,theta2_sep,bias_arm2_sep,MSE_arm2_sep,reject_h02_sep,var_theta2_tilde_unadj,var_theta2_tilde_adj_theta1_true,var_theta2_tilde_adj_theta1_per12,var_theta2_tilde_adj_theta1_per1,var_theta2_tilde_adj_theta1_per2,var_theta2_tilde_adj_theta1_rao,var_theta2_tilde_unadj_cond,var_theta2_tilde_adj_theta1_true_cond,var_theta2_tilde_adj_theta1_per12_cond,var_theta2_tilde_adj_theta1_per1_cond,var_theta2_tilde_adj_theta1_per2_cond,var_theta2_tilde_adj_theta1_rao_cond,var_theta2_tilde_unadj_stop,var_bias_est_theta1_true,var_bias_est_theta1_per12,var_bias_est_theta1_per1,var_bias_est_theta1_per2,var_bias_est_theta1_rao,sd_bias_arm2_unadj,sd_bias_arm2_adj_theta1_true,sd_bias_arm2_adj_theta1_per12,sd_bias_arm2_adj_theta1_per1,sd_bias_arm2_adj_theta1_per2,sd_bias_arm2_adj_theta1_rao,sd_bias_arm2_unadj_cond,sd_bias_arm2_adj_theta1_true_cond,sd_bias_arm2_adj_theta1_per12_cond,sd_bias_arm2_adj_theta1_per1_cond,sd_bias_arm2_adj_theta1_per2_cond,sd_bias_arm2_adj_theta1_rao_cond
10,10,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,0.002037901856244965,0.499,0.501,366.07800399201597,0.005444813409668688,-1.4172522903467536e-4,3.0865536862638706e-5,0.0025181874949324096,-1.941901478826912e-4,-1.922172902987624e-4,0.010771999882032684,-3.787758439221323e-4,-3.428329722090664e-5,0.004930431189944304,-4.8349624082435957e-4,-4.795584013354797e-4,0.011150775725954817,0.010806283179253591,0.005841568692088379,0.011255496122857042,0.011251558283368164,0.012957055940261525,0.012957055940261527,0.013192763514272182,0.013018167091243583,0.013206738281260852,0.01320702047820805,0.005444813409668688,-1.4172522903467536e-4,3.0865536862638706e-5,0.0025181874949324096,-1.941901478826912e-4,-1.922172902987624e-4,0.010771999882032684,-3.787758439221323e-4,-3.428329722090664e-5,0.004930431189944304,-4.8349624082435957e-4,-4.795584013354797e-4,0.013199282087603757,0.01314121993993415,0.013258601927789037,0.013183048821278073,0.013265848149822212,0.01326587482143718,0.013028793100354173,0.012912900590035602,0.013147195974975493,0.012996391371161192,0.013161659492007777,0.013161712728764203,0.02836,0.02523,0.02535,0.02674,0.02525,0.02527,0.03125748502994012,0.02500998003992016,0.025249500998003993,0.028023952095808383,0.025049900199600798,0.025089820359281437,9.627548851766119e-5,9.627548851766119e-5,0.013370454397447525,0.025450901803607213,-1.6242301322703676e-4,-1.6242301322703676e-4,0.013305603519447987,0.02509,0.013169767792215572,0.013141331267206279,0.013258733562443295,0.013176839321411652,0.013265943099439672,0.013265970533655828,0.012913014863703321,0.012913014863703321,0.013147457223926911,0.012972341148407453,0.013161688431744818,0.013161745461994171,0.013370713078639733,0,4.544090035552886e-6,9.603255464573972e-6,5.222504524309692e-6,5.1045557220300615e-6,0.11475960871410974,0.11463564570937906,0.11514657425404932,0.11479041476278258,0.1151778759113037,0.11517799500623298,0.11363544721478118,0.11363544721478118,0.11466236184523199,0.11389618583783855,0.11472440207621401,0.11472465062920946
50,50,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-0.007188365012449543,0.5032,0.4968,384.2036030595813,0.010185942494110192,2.7621624893860207e-4,0.0014912864415193596,0.00496940736310945,-1.5468650792119823e-4,-1.153330639941967e-4,0.020519967953996802,5.72853933925166e-4,0.003018647397251973,0.010019695951177276,-2.945026620084095e-4,-2.1528880547257712e-4,0.019947114020071644,0.01750132055674483,0.010500272002819527,0.020814470616005214,0.02073525675946938,0.012142535232864618,0.012142535232864618,0.012788777307494963,0.012350905606018588,0.012975933599654986,0.012982156902600338,0.010185942494110192,2.7621624893860207e-4,0.0014912864415193596,0.00496940736310945,-1.5468650792119823e-4,-1.153330639941967e-4,0.020519967953996802,5.72853933925166e-4,0.003018647397251973,0.010019695951177276,-2.945026620084095e-4,-2.1528880547257712e-4,0.012975304602977123,0.012766280512329652,0.01309863923112141,0.01291118342478537,0.013195599141703184,0.01319461810218602,0.012529801901719347,0.012109060978515905,0.012778060009900281,0.012400733507613565,0.012973228912037508,0.012971254194812942,0.03208,0.02591,0.0266,0.02856,0.02591,0.02595,0.03858695652173913,0.026167471819645734,0.027556360708534622,0.03150161030595813,0.026167471819645734,0.026247987117552336,-1.6648619704730508e-5,-1.6648619704730508e-5,0.013415141133153717,0.025655802861685215,3.5795332314223394e-4,3.5795332314223394e-4,0.013383996733445272,0.02602,0.012871679895282756,0.012766331880232277,0.013096546261333364,0.012886617281417658,0.013195707170859161,0.01319473674783785,0.012108976556349986,0.012108976556349986,0.012769204806873609,0.012300586797012122,0.012973403319577864,0.012971468945964798,0.013415407457874196,0,4.4296490747287416e-5,3.0303201241347447e-5,8.069795744544482e-5,7.317731944774939e-5,0.11345342610641054,0.11298819354353921,0.11444014270059857,0.11351923749487422,0.11487256927073217,0.11486834528205693,0.11004079496418583,0.11004079496418583,0.11300090622147067,0.11090801051778056,0.1139008486341426,0.11389235683734356
150,150,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,0.006503246816671732,0.49919,0.50081,382.5159641380963,0.011681178009356794,1.4604967624082761e-4,0.0029806907061916896,0.005662762630286405,-0.0012861948471095423,-8.602756990049888e-4,0.024453359142437903,0.0014204158443488766,0.007080528521713271,0.012435996511758826,-0.001439440235502504,-5.889796853845881e-4,0.023032943298089026,0.017372830620724634,0.012017362630679075,0.025892799377940406,0.025042338827822492,0.011221268997946007,0.011221268997946007,0.011887689334698654,0.01150100415856707,0.0124819958622858,0.012468809016572685,0.011681178009356794,1.4604967624082761e-4,0.0029806907061916896,0.005662762630286405,-0.0012861948471095423,-8.602756990049888e-4,0.024453359142437903,0.0014204158443488766,0.007080528521713271,0.012435996511758826,-0.001439440235502504,-5.889796853845881e-4,0.012581004592247843,0.012282547277313092,0.012635610465006,0.012489357360164563,0.01291659872349598,0.012908516030550245,0.01184031760199944,0.011244368409821265,0.011949352710639752,0.011657319594604856,0.012510420298127982,0.012494281057805834,0.0333,0.02508,0.02687,0.02853,0.02496,0.02513,0.04191210239412152,0.025498692118767596,0.029072901898923743,0.0323875321978395,0.025259080289930312,0.025598530380783132,-0.0011324521379986244,-0.0011324521379986244,0.01332409530237085,0.024659949117570464,1.8155279859051641e-4,1.8155279859051641e-4,0.013344635618428882,0.02507,0.012444679119352755,0.012282648773292895,0.012626852216442186,0.012457415053708131,0.012915073577047019,0.012907905035322298,0.011242575316486423,0.011242575316486423,0.01189945643070275,0.011502895271178782,0.012508598077274856,0.012494183640252027,0.013323079748489182,0,7.832418097190363e-5,4.073628492309899e-5,3.061434575638316e-4,2.4662284435806594e-4,0.11155572203770076,0.11082711208586506,0.11236926722392643,0.11161279072627892,0.11364450526552974,0.11361296156390915,0.106031011107536,0.106031011107536,0.10908462967211628,0.10725155136956659,0.11184184403556147,0.11177738429687835
300,300,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-1.0813670392148777e-4,0.50049,0.49951,385.42739885087383,0.01048118140524672,-3.660115156700629e-4,0.0030581940613141514,0.004791154282945997,-0.003180057974361068,-0.002051358606173547,0.021615132629516077,-1.0053456616926259e-4,0.00675459461439612,0.010223914991629501,-0.005734148425133057,-0.0034745352678638916,0.021715667195685344,0.014860538015119955,0.011391217637886576,0.027349281054649132,0.02508966789737997,0.010720175777755895,0.010720175777755895,0.011200682269829386,0.010969266077012162,0.012092462917546724,0.01200207775476551,0.01048118140524672,-3.660115156700629e-4,0.0030581940613141514,0.004791154282945997,-0.003180057974361068,-0.002051358606173547,0.021615132629516077,-1.0053456616926259e-4,0.00675459461439612,0.010223914991629501,-0.005734148425133057,-0.0034745352678638916,0.012226043849868187,0.01199267085405908,0.012244982472209254,0.01215198392281598,0.012701343857194763,0.01263302961793983,0.011007306779137194,0.010540102927744616,0.011045221179932107,0.010859041625181904,0.011958839295656536,0.011822076789891018,0.03181,0.02431,0.02648,0.02731,0.02387,0.0243,0.03931853216151829,0.024303817741386558,0.028648075113611338,0.03030970350943925,0.023422954495405497,0.024283798122159715,-6.309686397787259e-4,-6.309686397787259e-4,0.013442394534598827,0.024316170153249814,-5.843293167257412e-4,-5.843293167257412e-4,0.013330955663834377,0.02439,0.01211630984931699,0.01199265681619764,0.012235752278815385,0.012129150054953538,0.012691358002054487,0.01262894783528706,0.010540303833414902,0.010540303833414902,0.010999816843672051,0.010754728492995157,0.011926197595429764,0.011810240831087804,0.013442264995263901,0,6.741751778092535e-5,3.6008804933848584e-5,5.380677992548228e-4,3.8443957401867047e-4,0.11007411071326895,0.10951098947684493,0.11061533473626242,0.11013242054433171,0.1126559275051894,0.11237859153454033,0.10266598187040779,0.10266598187040779,0.10488001164984705,0.10370500707774508,0.10920713161433078,0.10867493193505025
600,600,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-0.005847564421693856,0.50364,0.49636,386.93085663631234,0.008883610318483368,-2.624950698682069e-4,0.0032294033500972273,0.004080752692884107,-0.004383189721200791,-0.002114402999121491,0.017914094297174304,-5.12260341296917e-4,0.006522751383994069,0.008237936618071916,-0.00881408694161238,-0.004243237715084659,0.018426354638471212,0.011391342913180235,0.009676157679102388,0.026728181238786685,0.022157332012258963,0.010360733624523066,0.010360733624523066,0.010639932989926949,0.01054040341776657,0.011724161007737766,0.011471677727236878,0.008883610318483368,-2.624950698682069e-4,0.0032294033500972273,0.004080752692884107,-0.004383189721200791,-0.002114402999121491,0.017914094297174304,-5.12260341296917e-4,0.006522751383994069,0.008237936618071916,-0.00881408694161238,-0.004243237715084659,0.012006099107075861,0.011846940099764813,0.011994711158425412,0.011956420736378637,0.012544675966937962,0.01238801784718411,0.010624484338143796,0.010303831974313008,0.0106015414163724,0.010524398975307903,0.011709537243015461,0.01139392333425196,0.03103,0.02478,0.02692,0.0273,0.02325,0.02448,0.036848255298573614,0.024256587960351357,0.02856797485695866,0.029333548231122573,0.02117414779595455,0.02365218792811669,-1.6340097812066487e-5,-1.6340097812066487e-5,0.013367742953289666,0.025295846239377334,-1.9424662813858308e-4,-1.9424662813858308e-4,0.013334594239486627,0.02505,0.011927299847783675,0.011846989665999768,0.011984401956447358,0.011939887592714084,0.012525588870694628,0.012383670983851255,0.01030377715043047,0.01030377715043047,0.01055920786360744,0.010456746044172738,0.011632083462121807,0.011376147459408282,0.013368008114138423,0,4.1503505629240014e-5,2.6046291807576872e-5,7.494244969027019e-4,4.494459064618908e-4,0.10921217811115973,0.10884387748513817,0.10947329334795476,0.10926979268175667,0.11191777727731474,0.11128194365597348,0.10150752262975622,0.10150752262975622,0.10275800632363125,0.10225823215845625,0.1078521370308526,0.10665902427553087
1050,1050,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,0.004821992195272146,0.4981,0.5019,384.16043036461446,0.00787414143150536,2.2776520646484435e-4,0.0034171380119820626,0.0038763738375543646,-0.0053025998213355905,-0.00167974188609226,0.015547114296030284,3.1225431388141964e-4,0.006666852451991039,0.007581847123384349,-0.010706604079823373,-0.0034883176975892007,0.015234859982148857,0.008880261844039245,0.007965267172645936,0.026253718375853656,0.019035431993619484,0.010182406001954705,0.010182406001954705,0.010347914816766538,0.010305373339922036,0.011519234306755492,0.011100300872700766,0.00787414143150536,2.2776520646484435e-4,0.0034171380119820626,0.0038763738375543646,-0.0053025998213355905,-0.00167974188609226,0.015547114296030284,3.1225431388141964e-4,0.006666852451991039,0.007581847123384349,-0.010706604079823373,-0.0034883176975892007,0.011864817446107899,0.011743550747024916,0.011844125889539432,0.011828291440780792,0.012446598636564714,0.012210239846968757,0.010396391194448629,0.010154775934271337,0.010355164741831641,0.010323615730557201,0.011555548776550273,0.011084620723958211,0.03125,0.02586,0.028,0.02826,0.02327,0.02502,0.036999402271368796,0.02626021119744969,0.03052400876668659,0.031042040247061167,0.021099820681410638,0.024586571030085675,1.4263153247893963e-4,1.4263153247893963e-4,0.013344446307195607,0.025456735595261997,9.399656896373534e-5,9.399656896373534e-5,0.013323793874287653,0.02535,0.011802933372158271,0.011743616306198702,0.01183256738302033,0.01181338330048532,0.012418605257752062,0.01220754038956876,0.010154880760280694,0.010154880760280694,0.010310923258016537,0.01026633587418448,0.011441145362300075,0.011072672978721007,0.01334469387538444,0,2.5041338710509397e-5,1.7686661032945466e-5,8.99190480837236e-4,4.5717636534542617e-4,0.10864130601276051,0.1083679671591135,0.10877760515391176,0.10868938908874831,0.11143879601715043,0.11048773863903977,0.10077142829334461,0.10077142829334461,0.10154271642031514,0.10132292866959818,0.1069632897881328,0.10522676930667883
1500,1500,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,linear,2,1000,-0.0021536792098786448,0.50039,0.49961,387.43920257801085,0.006004983653478145,-6.113572120746818e-4,0.002250745744693517,0.0025259830348261323,-0.006671884108735599,-0.0024412358655602775,0.01250655056778713,-7.364607121168504e-4,0.004992213567357537,0.005543117852965542,-0.012866976307603164,-0.004399074858121925,0.013243011279903977,0.0075143370004295915,0.006963432714821587,0.025373526875390292,0.016905625425909055,0.010107023205646548,0.01010702320564655,0.010223248497620876,0.010200000235831274,0.011422071546864877,0.010890052394958478,0.006004983653478145,-6.113572120746818e-4,0.002250745744693517,0.0025259830348261323,-0.006671884108735599,-0.0024412358655602775,0.01250655056778713,-7.364607121168504e-4,0.004992213567357537,0.005543117852965542,-0.012866976307603164,-0.004399074858121925,0.011798755698485595,0.011720880771982295,0.011785269658173827,0.011776093533097514,0.01241456996081838,0.012112303928241353,0.010250218079547513,0.010094346646823389,0.010223224944278467,0.0102048583681965,0.011482808024370045,0.010877804056120759,0.02933,0.02482,0.02646,0.02671,0.02197,0.0239,0.033886431416504874,0.024859390324453074,0.02814195072156282,0.02864234102600028,0.019154940853866015,0.023017954004123216,-4.8644872138528387e-4,-4.8644872138528387e-4,0.01334487948153013,0.024780671076560283,-3.568889001105078e-4,-3.568889001105078e-4,0.01332410723215724,0.02449,0.011762813497942034,0.011720624220583745,0.011780321604982621,0.011769830641111697,0.01237017962505423,0.01210646536034366,0.010094006310158518,0.010094006310158518,0.010198506877334805,0.010174335858225336,0.011317475471269484,0.010858669539431662,0.013344909539344044,0,1.7499104599474993e-5,1.3415765606098273e-5,9.413779180575938e-4,4.309378368640899e-4,0.10845650509739853,0.10826183178102865,0.1085371899626235,0.10848885030781595,0.1112213092219932,0.11002938407690765,0.10046893206438753,0.10046893206438753,0.10098765705438861,0.10086791292688342,0.10638362407471126,0.10420494009130116
10,10,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,stepwise,2,1000,0.001351478609813476,0.50011,0.49989,364.6894316749685,0.005454398540123281,-1.1976273752427177e-4,5.5524650506209756e-5,0.002541106636080289,-1.6904484657092922e-4,-1.6689185752158316e-4,0.011044132949950417,-1.06642776004398e-4,2.4400914347885136e-4,0.005216267011357944,-2.0522868299725132e-4,-2.0092175737492228e-4,0.011150775725954817,0.010800123806471567,0.0058278659385924735,0.01124936163294767,0.01124505470732534,0.012930645730937024,0.012930645730937024,0.0131657328187804,0.01299188638614338,0.013179643115371582,0.013179950854183876,0.005454398540123281,-1.1976273752427177e-4,5.5524650506209756e-5,0.002541106636080289,-1.6904484657092922e-4,-1.6689185752158316e-4,0.011044132949950417,-1.06642776004398e-4,2.4400914347885136e-4,0.005216267011357944,-2.0522868299725132e-4,-2.0092175737492228e-4,0.013339735858019973,0.013278768523817713,0.013398413514949132,0.013318704402662739,0.013406132994277996,0.013405691793528548,0.013228248229795183,0.013106286729860675,0.013345629367503796,0.013186176063204063,0.013361071723479839,0.013360189127809894,0.029,0.02588,0.02597,0.02739,0.02584,0.02585,0.03330732761207466,0.027065954509992197,0.027245994118706117,0.030086619056192362,0.026985936906119345,0.02700594130708756,-1.3287692753080973e-4,-1.3287692753080973e-4,0.013451174442477974,0.02469456719521705,-1.4013135576787386e-4,-1.4013135576787386e-4,0.013456314175600467,0.02524,0.013310118495770433,0.013278886969574109,0.013398544417406493,0.013312380303529842,0.013406238480502649,0.013405797998616426,0.01310653754561137,0.01310653754561137,0.013345836802512348,0.013159229864180918,0.013361296889407945,0.013360416025376581,0.013451425755541958,0,4.569456458210179e-6,9.485925908703526e-6,5.254818730775765e-6,5.132920040698236e-6,0.115369486848865,0.11523405299465132,0.11575208169793964,0.11537928888466006,0.11578531202403286,0.11578340985916949,0.11448378726095398,0.11448378726095398,0.11552418276063392,0.11471368647280462,0.11559107616683886,0.11558726584436792
50,50,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,stepwise,2,1000,-1.497507191270356e-4,0.50138,0.49862,383.01181260278366,0.010103488049850258,1.5745805716213868e-4,0.0013857214231626648,0.004875737087918363,-2.6624633395051767e-4,-2.248988417681794e-4,0.019753935187371795,-1.9317883269984073e-4,0.002270146677709942,0.009269496211935803,-0.0010429329362509545,-9.600090820486796e-4,0.019947114020071644,0.017483788509661854,0.010484438975435995,0.02079686812362275,0.020713944269420477,0.012137651448698158,0.012137651448698158,0.012782433487139767,0.012345662979801355,0.012969382876518372,0.012975278333037361,0.010103488049850258,1.5745805716213868e-4,0.0013857214231626648,0.004875737087918363,-2.6624633395051767e-4,-2.248988417681794e-4,0.019753935187371795,-1.9317883269984073e-4,0.002270146677709942,0.009269496211935803,-0.0010429329362509545,-9.600090820486796e-4,0.012962411039225838,0.012767859169842606,0.013098650331711034,0.012906042559573234,0.013199158656912029,0.013197179254008951,0.012624561157884384,0.012234380520558901,0.012897793865126763,0.012511512183409625,0.013099366856986287,0.013095397094636045,0.03253,0.02551,0.02643,0.02864,0.02554,0.02569,0.039107937908627814,0.0250290802615218,0.026874172716698088,0.03130640567967591,0.025089246319842766,0.025390076611447595,5.061647587118219e-4,5.061647587118219e-4,0.013298401122265602,0.025988272368263593,2.2618169090549403e-4,2.2618169090549403e-4,0.013385756150236358,0.02556,0.012860459173044103,0.012767962056423405,0.013096861076459186,0.012882398571408445,0.013199219761999307,0.013197260647126395,0.01223458857148734,0.01223458857148734,0.012892898870823575,0.01242583782794768,0.013098541843754268,0.013094738096790438,0.013298410155653974,0,4.469216609931747e-5,3.0373881906550102e-5,8.120710862298436e-5,7.383826889936525e-5,0.1134039645384768,0.11299540723597311,0.11444151814992314,0.11350065449770959,0.11488785733052605,0.11487933080901191,0.11061007445747127,0.11061007445747127,0.11354690163462662,0.11147124215665527,0.11444886126019022,0.11443224238295097
150,150,150,150,150,0,0,0,1,0.025,0.5,0.15,0.15,0.15,stepwise,2,1000,0.0013848731402556066,0.49993,0.50007,384.94030835683003,0.010927839322717169,-5.902446323582104e-4,0.0021646910707550197,0.004884676642657686,-0.002154495131571958,-0.0017276170704490655,0.022676225403690613,-3.56717894398411e-4,0.00515238223780954,0.010591591892263249,-0.0034847809639961627,-0.0026311443508762146,0.023032943298089026,0.017523843165881074,0.012084633511427367,0.026161006367686777,0.02530736975456683,0.011224865602926825,0.011224865602926825,0.01189434988649368,0.011504645220324907,0.012491652744906401,0.01248094054195599,0.010927839322717169,-5.902446323582104e-4,0.0021646910707550197,0.004884676642657686,-0.002154495131571958,-0.0017276170704490655,0.022676225403690613,-3.56717894398411e-4,0.00515238223780954,0.010591591892263249,-0.0034847809639961627,-0.0026311443508762146,0.012546630440224762,0.0122895524788968,0.012639010134441972,0.012475517153812796,0.012947488797510115,0.012935312839320036,0.011708288519813025,0.011194204568910225,0.011893022045553843,0.01156608185592204,0.01250989300975514,0.012485544502166046,0.03303,0.025,0.0268,0.02854,0.02462,0.02488,0.041274221608974745,0.025216469694242807,0.02881596576479293,0.032295478632991384,0.024456576079348893,0.024976503289539466,-8.238367669601684e-4,-8.238367669601684e-4,0.013385207129241818,0.024783469685756006,-6.492875970006433e-4,-6.492875970006433e-4,0.013377036595965772,0.02491,0.01242733704133205,0.012289326983440605,0.012634450591516081,0.012451781605725527,0.012942976378001929,0.012932457503152962,0.011194301175937905,0.011194301175937905,0.01186671230385328,0.011454129087624464,0.01249799923638334,0.01247887112405743,0.013384796155629012,0,7.92363277353475e-5,4.046699079474407e-5,3.156590445731287e-4,2.50796603889164e-4,0.11147796661821587,0.11085723694662701,0.11240307198433716,0.11158755130266784,0.11376720255856662,0.1137209633407709,0.10580312460385045,0.10580312460385045,0.10893444039353799,0.10702396501543224,0.11179445083000918,0.11170886770555608
